model,basket_size,hold_months,is_ann_return,is_sharpe,is_sortino,is_calmar,spy_is_sharpe,oos_ann_return,oos_sharpe,oos_sortino,oos_calmar,spy_oos_sharpe,pre_shock_ann_return,pre_shock_sharpe,post_shock_ann_return,post_shock_sharpe,post_shock_sector_exposure,full_oos_sector_exposure
three_factor,50,1,13.09,0.462,0.399,0.267,0.403,11.47,0.41,0.556,1.903,1.048,-36.35,-6.26,30.83,1.595,XLK:30.8%; XLI:21.0%; XLY:14.8%; XLV:10.2%; XLF:7.8%,XLK:27.8%; XLI:19.8%; XLY:12.4%; XLV:11.8%; XLF:11.8%
three_factor,50,2,13.23,0.472,0.421,0.312,0.417,7.82,0.186,0.19,7.043,1.07,-35.78,,39.79,2.001,XLK:33.0%; XLI:20.5%; XLY:14.0%; XLV:11.5%; XLF:9.0%,XLK:26.0%; XLI:21.6%; XLF:12.4%; XLY:11.2%; XLV:10.4%
three_factor,50,3,12.15,0.464,0.394,0.281,0.434,13.12,0.327,0.42,,0.78,,,39.13,1.559,XLK:33.0%; XLI:21.0%; XLY:12.0%; XLF:10.0%; XLU:10.0%,XLK:26.0%; XLI:22.0%; XLF:18.7%; XLY:9.3%; XLV:7.3%
three_factor,50,6,12.02,0.455,0.356,0.307,0.436,,,,,,,,36.86,,XLK:38.0%; XLI:18.0%; XLF:16.0%; XLY:12.0%; XLB:4.0%,XLF:36.0%; XLI:24.0%; XLK:12.0%; XLV:12.0%; XLB:10.0%
three_factor,75,1,12.59,0.431,0.377,0.261,0.403,9.49,0.321,0.423,1.425,1.048,-38.27,-4.853,28.23,1.811,XLK:29.5%; XLI:19.7%; XLY:15.5%; XLF:10.5%; XLV:9.7%,XLK:26.4%; XLI:19.0%; XLF:14.7%; XLY:13.0%; XLV:10.4%
three_factor,75,2,12.56,0.435,0.383,0.289,0.417,13.91,0.636,0.454,,1.07,-33.66,,28.52,1.439,XLK:30.0%; XLI:18.3%; XLY:15.7%; XLF:12.3%; XLV:10.7%,XLK:26.4%; XLI:20.3%; XLF:14.7%; XLY:12.0%; XLU:8.3%
three_factor,75,3,11.51,0.423,0.352,0.265,0.434,10.81,0.257,0.308,,0.78,,,34.7,1.556,XLK:30.7%; XLI:18.7%; XLF:15.3%; XLY:14.0%; XLU:8.0%,XLK:24.4%; XLF:20.9%; XLI:20.4%; XLY:11.1%; XLV:7.6%
three_factor,75,6,11.48,0.426,0.328,0.288,0.436,,,,,,,,42.49,,XLK:32.0%; XLF:18.7%; XLI:16.0%; XLY:16.0%; XLV:8.0%,XLF:32.0%; XLI:24.0%; XLK:12.0%; XLV:10.7%; XLB:8.0%
three_factor,100,1,12.21,0.413,0.356,0.249,0.403,10.2,0.388,0.437,1.535,1.048,-40.27,-6.49,30.71,2.295,XLK:26.0%; XLI:20.2%; XLY:14.4%; XLF:13.2%; XLV:10.0%,XLK:23.2%; XLI:19.6%; XLF:17.1%; XLY:12.1%; XLV:10.2%
three_factor,100,2,12.53,0.435,0.391,0.283,0.417,11.42,0.449,0.304,,1.07,-36.4,,30.61,1.755,XLK:26.5%; XLI:19.0%; XLF:15.0%; XLY:14.8%; XLV:10.8%,XLK:23.0%; XLI:19.8%; XLF:17.8%; XLY:11.4%; XLV:8.8%
three_factor,100,3,11.45,0.423,0.349,0.263,0.434,8.47,0.152,0.165,,0.78,,,33.41,1.623,XLK:25.0%; XLF:22.0%; XLI:20.0%; XLY:12.5%; XLU:6.5%,XLF:25.0%; XLK:20.3%; XLI:20.0%; XLY:10.7%; XLV:8.0%
three_factor,100,6,11.25,0.413,0.334,0.276,0.436,,,,,,,,37.92,,XLF:29.0%; XLK:25.0%; XLI:17.0%; XLY:14.0%; XLV:6.0%,XLF:31.0%; XLI:20.0%; XLV:12.0%; XLK:11.0%; XLU:7.0%
